id,latitude_deg,longitude_deg,elevation_m,observed_gravity_mGal,free_air_correction_mGal,simple_bouguer_correction_mGal,free_air_anomaly_mGal,bouguer_anomaly_mGal
1,21.37454,72.698162,155.54,977973.55,48.0,-6.522,-74.454,-67.933
2,21.950714,72.536096,262.57,978032.72,81.029,-11.01,-48.31,-37.3
3,21.731994,72.309528,361.88,978013.22,111.677,-15.174,-98.458,-83.284
4,21.598658,72.813795,319.67,977977.6,98.649,-13.404,-121.05,-107.646
5,21.156019,72.684731,341.97,977952.35,105.531,-14.339,-153.182,-138.843
6,21.155995,72.162617,297.64,977990.03,91.85,-12.48,-101.816,-89.336
7,21.058084,72.910927,307.68,977933.77,94.951,-12.901,-161.18,-148.279
8,21.866176,72.822537,354.76,977999.57,109.479,-14.875,-109.912,-95.036
9,21.601115,72.9498,174.9,977981.69,53.974,-7.334,-72.284,-64.951
10,21.708073,72.72572,246.83,978005.3,76.171,-10.349,-70.868,-60.518
11,21.020584,72.613415,166.36,977956.09,51.34,-6.976,-95.247,-88.271
12,21.96991,72.418243,396.3,978029.07,122.298,-16.617,-93.227,-76.61
13,21.832443,72.932728,383.22,977987.54,118.261,-16.068,-130.721,-114.653
14,21.212339,72.866064,111.83,977958.02,34.51,-4.689,-76.492,-71.803
15,21.181825,72.045219,311.67,977991.11,96.182,-13.068,-105.069,-92.001
16,21.183405,72.026367,377.57,977989.24,116.519,-15.832,-127.275,-111.444
17,21.304242,72.376463,154.17,978013.64,47.578,-6.464,-33.941,-27.477
18,21.524756,72.810553,270.38,977976.61,83.44,-11.337,-106.831,-95.494
19,21.431945,72.987276,374.65,977950.31,115.616,-15.709,-165.304,-149.595
20,21.291229,72.150417,110.18,978005.98,34.003,-4.62,-28.028,-23.408
21,21.611853,72.594131,309.23,977994.76,95.427,-12.966,-100.671,-87.705
22,21.139494,72.380891,189.2,977989.4,58.389,-7.933,-68.992,-61.059
23,21.292145,72.969914,377.32,977943.77,116.441,-15.821,-172.673,-156.852
24,21.366362,72.842119,391.32,977951.56,120.761,-16.408,-169.205,-152.797
25,21.45607,72.838329,383.28,977960.65,118.28,-16.071,-157.626,-141.555
26,21.785176,72.468693,242.26,978021.91,74.763,-10.158,-52.853,-42.695
27,21.199674,72.41482,358.61,977986.31,110.668,-15.037,-124.363,-109.326
28,21.514234,72.273407,353.36,977983.22,109.048,-14.817,-125.832,-111.015
29,21.592415,72.056375,195.73,978024.85,60.402,-8.207,-35.547,-27.34
30,21.04645,72.864722,348.67,977928.38,107.601,-14.62,-179.224,-164.604
31,21.607545,72.812901,111.1,977995.48,34.286,-4.659,-38.805,-34.146
32,21.170524,72.999718,278.88,977933.79,86.063,-11.693,-152.27,-140.576
33,21.065052,72.996637,169.0,977933.77,52.154,-7.086,-118.38,-111.293
34,21.948886,72.555432,136.17,978035.27,42.022,-5.71,-6.752,-1.042
35,21.965632,72.768987,123.09,978020.79,37.984,-5.161,-17.19,-12.029
36,21.808397,72.944766,308.89,977990.14,95.322,-12.952,-105.182,-92.23
37,21.304614,72.849647,201.96,977960.93,62.326,-8.468,-101.393,-92.925
38,21.097672,72.247348,317.43,977976.04,97.959,-13.31,-121.916,-108.606
39,21.684233,72.450544,119.61,978020.68,36.911,-5.015,-16.231,-11.216
40,21.440152,72.129159,194.59,978008.11,60.05,-8.159,-51.941,-43.782
41,21.122038,72.954051,261.85,977936.62,80.806,-10.979,-144.189,-133.21
42,21.495177,72.606175,337.22,977981.69,104.065,-14.14,-122.374,-108.234
43,21.034389,72.228643,195.63,977977.32,60.37,-8.203,-83.05,-74.848
44,21.90932,72.671701,287.77,978016.18,88.805,-12.066,-72.622,-60.556
45,21.25878,72.618128,365.79,977961.25,112.884,-15.338,-151.63,-136.292
46,21.662522,72.358163,284.76,978010.85,87.877,-11.94,-77.027,-65.087
47,21.311711,72.113558,169.89,978005.94,52.427,-7.123,-46.487,-39.363
48,21.520068,72.671573,107.32,977993.5,33.119,-4.5,-39.622,-35.122
49,21.54671,72.520308,361.03,977987.46,111.414,-15.138,-123.951,-108.813
50,21.184854,72.772318,106.38,977965.4,32.829,-4.461,-67.429,-62.969
51,21.969585,72.520164,362.41,978021.97,111.84,-15.196,-89.869,-74.673
52,21.775133,72.852182,258.68,977996.34,79.829,-10.847,-83.49,-72.644
53,21.939499,72.551907,381.72,978017.49,117.799,-16.006,-100.309,-84.303
54,21.894827,72.560938,339.63,978019.16,104.811,-14.241,-85.654,-71.413
55,21.5979,72.876654,399.38,977970.57,123.249,-16.746,-152.682,-135.936
56,21.921874,72.403483,205.21,978039.79,63.329,-8.605,-23.534,-14.929
57,21.088493,72.134015,330.16,977977.38,101.886,-13.843,-124.511,-110.667
58,21.195983,72.028783,220.58,978000.92,68.071,-9.249,-67.154,-57.905
59,21.045227,72.755137,243.96,977941.58,75.287,-10.229,-133.704,-123.475
60,21.32533,72.62031,288.25,977975.41,88.954,-12.086,-113.549,-101.463
61,21.388677,72.70408,362.1,977964.2,111.745,-15.183,-147.544,-132.361
62,21.271349,72.212964,395.23,977991.93,121.966,-16.572,-130.036,-113.464
63,21.828738,72.136371,330.48,978039.14,101.987,-13.857,-62.845,-48.988
64,21.356753,72.014545,225.33,978014.2,69.537,-9.448,-55.332,-45.884
65,21.280935,72.350588,226.41,978018.96,69.869,-9.493,-50.912,-41.419
66,21.542696,72.589918,321.27,977988.07,99.145,-13.471,-111.075,-97.604
67,21.140924,72.392244,171.63,977986.83,52.966,-7.197,-66.132,-58.935
68,21.802197,72.437475,133.14,978029.71,41.088,-5.583,-11.378,-5.795
69,21.074551,72.904159,206.39,977940.91,63.691,-8.654,-122.784,-114.13
70,21.986887,72.348255,186.17,978051.47,57.453,-7.806,-5.98,1.827
71,21.772245,72.513989,188.89,978018.46,58.292,-7.92,-39.834,-31.914
72,21.198716,72.783653,170.08,977955.66,52.487,-7.132,-96.827,-89.695
73,21.005522,72.396543,112.63,977969.61,34.757,-4.722,-65.143,-60.421
74,21.815461,72.622087,105.36,978026.9,32.515,-4.418,-5.613,-1.195
75,21.706857,72.862364,396.32,977986.77,122.303,-16.618,-135.535,-118.918
76,21.729007,72.949521,228.33,977990.93,70.463,-9.574,-79.537,-69.963
77,21.77127,72.147073,215.3,978042.06,66.441,-9.027,-24.381,-15.353
78,21.074045,72.926588,303.89,977930.47,93.782,-12.742,-163.314,-150.572
79,21.358466,72.492116,165.48,977992.19,51.066,-6.938,-58.871,-51.933
80,21.115869,72.258244,384.99,977976.34,118.807,-16.143,-142.469,-126.326
81,21.863103,72.459136,335.9,978020.38,103.66,-14.084,-83.279,-69.195
82,21.623298,72.980033,126.82,977983.03,39.138,-5.318,-56.112,-50.794
83,21.330898,72.492618,225.27,977985.29,69.52,-9.446,-84.226,-74.78
84,21.063558,72.328752,363.74,977962.07,112.249,-15.251,-150.179,-134.928
85,21.310982,72.633401,383.42,977961.99,118.323,-16.077,-156.334,-140.257
